gyro_bias_x (deg/s),gyro_bias_y (deg/s),gyro_bias_z (deg/s)
-2.678709859198964726e-05,1.633383927443723960e-01,-2.289345335087925306e-05
-4.214653952477250020e-05,1.633956947634729040e-01,-2.382874670890483177e-05
-5.547571673175696584e-05,1.634529972201204939e-01,-2.461019136058533648e-05
-4.644818744968308118e-05,1.635103035545516226e-01,-2.404646789529675310e-05
-6.640583563313361051e-05,1.635675853909870081e-01,-2.524523072130335308e-05
-6.626241203311113170e-05,1.636248995195727085e-01,-2.521681981585440394e-05
-4.576636309621946817e-05,1.636821779671282784e-01,-2.393259504370919200e-05
-6.230718818917696782e-05,1.637394714447111266e-01,-2.492377806259363411e-05
-7.338763077104861387e-05,1.637967741088024454e-01,-2.557276829151861926e-05
-9.760731317093295498e-05,1.638540296768823679e-01,-2.702266738627013545e-05
-8.776222896478448740e-05,1.639113441096303470e-01,-2.642770317674138583e-05
-8.558851546081809353e-05,1.639686596971669241e-01,-2.629067919115063139e-05
-8.493258744730325101e-05,1.640259729807454769e-01,-2.625168661401631098e-05
-8.192570740184143563e-05,1.640832848763853213e-01,-2.606950853344679840e-05
-8.235352234600565790e-05,1.641405944906290382e-01,-2.611187255187162135e-05
-7.524677044421498125e-05,1.641979014574135032e-01,-2.568478580294115279e-05
-8.789514152901443088e-05,1.642551912594877317e-01,-2.646236018012545582e-05
-9.853324607178221332e-05,1.643124834938570478e-01,-2.712669248451112010e-05
-9.939376556657176771e-05,1.643697901379110315e-01,-2.720289038135008866e-05
-9.561861787358898136e-05,1.644270977461096406e-01,-2.698983321998689824e-05
-1.229805466480416300e-04,1.644843197919216016e-01,-2.865962029126984694e-05
-1.341138113248884248e-04,1.645416066176965120e-01,-2.935206668033508114e-05
-1.510837543333179672e-04,1.645988688335104089e-01,-3.040413425905323842e-05
-1.531396895071197200e-04,1.646561756968960843e-01,-3.057109997092018265e-05
-1.226603145902089664e-04,1.647134534510889814e-01,-2.874785492175319687e-05
-1.104261959742012795e-04,1.647707689482747206e-01,-2.798484821275200443e-05
-1.114704698601946852e-04,1.648280821861939360e-01,-2.807215055492262251e-05
-1.128998946317459541e-04,1.648853931347785129e-01,-2.817480392912632159e-05
-9.422521461268047792e-05,1.649426908964870819e-01,-2.707583341495922786e-05
-8.891025030552451782e-05,1.650000036899940126e-01,-2.674436176111362926e-05
-9.669622026082419811e-05,1.650573049568520023e-01,-2.719535824725895191e-05
-9.099216369149114682e-05,1.651146154427118040e-01,-2.682773144656649538e-05
-7.236194679749387466e-05,1.651719038716646659e-01,-2.569231657194767288e-05
-8.694436131946970488e-05,1.652291918084326794e-01,-2.658234309083796359e-05
-9.383935275349964929e-05,1.652864944725111473e-01,-2.701163903518154807e-05
-1.071673606145118700e-04,1.653437799844780509e-01,-2.784980721254853012e-05
-1.274243478492533672e-04,1.654010363394617933e-01,-2.912960131279073009e-05
-1.304822995717774207e-04,1.654583429129882211e-01,-2.935759280264140371e-05
-1.344038012241638457e-04,1.655156462739192091e-01,-2.967925920305190373e-05
-1.226926799176525991e-04,1.655729578216680875e-01,-2.905776929746316161e-05
-1.175361883780629663e-04,1.656302692760266149e-01,-2.882489448510480438e-05
-1.023598205033181616e-04,1.656875715138444449e-01,-2.795921468582224847e-05
-1.046501900006018091e-04,1.657448771112610131e-01,-2.817187242693201590e-05
-8.484374704968526953e-05,1.658021648984197294e-01,-2.698340875823603216e-05
-9.327193595487136767e-05,1.658594635700900710e-01,-2.755324481193780685e-05
-7.971635846314961932e-05,1.659167632744555088e-01,-2.678709974865962191e-05
-5.981548395490528697e-05,1.659740436535717123e-01,-2.560075607449877055e-05
-6.012714187382262867e-05,1.660313536008767299e-01,-2.561838480632139771e-05
-5.991519949686051019e-05,1.660886621336861713e-01,-2.562966161184162145e-05
-7.687154687909604793e-05,1.661459441276435245e-01,-2.672371864197499062e-05
-9.278030293353119510e-05,1.662032255766828226e-01,-2.771551058963203163e-05
-7.755401927084110418e-05,1.662605231136273509e-01,-2.680777036836573727e-05
-7.646715958226078835e-05,1.663178329008181133e-01,-2.676671613799036731e-05
-6.212969808805581418e-05,1.663751272756787691e-01,-2.588183054114848470e-05
-7.589173429047095217e-05,1.664324186660424143e-01,-2.674975226550880766e-05
-6.824225267684712565e-05,1.664897244471831850e-01,-2.628882818996265068e-05
-9.216971104855950058e-05,1.665469787084724040e-01,-2.778666481896892388e-05
