q0 (),q1,q2,q3
9.995281595239118300e-01,1.065363743186271040e-04,3.071553106024056679e-02,-5.586080867278824192e-05
9.995276227753659981e-01,1.083168467275431125e-04,3.073298782708485874e-02,-5.509724750528631726e-05
9.995271834982580872e-01,1.062583812345299319e-04,3.074727902892951739e-02,-5.467644085601296687e-05
9.995268451820102928e-01,1.030431552056915834e-04,3.075828019252108830e-02,-5.781179962134268366e-05
9.995264003507376982e-01,1.051566145502003412e-04,3.077272666456007388e-02,-5.690001430332892129e-05
9.995259558729332472e-01,1.073259060868823699e-04,3.078715540647799717e-02,-5.549258067599164169e-05
9.995255083646078509e-01,1.042586798442151746e-04,3.080169466120246183e-02,-5.352194041320520551e-05
9.995250670566270257e-01,1.060673404269225450e-04,3.081600892880550016e-02,-5.166105256857245941e-05
9.995245558727406943e-01,1.057749426716574970e-04,3.083258271422107885e-02,-5.349983868635991419e-05
9.995241920591655393e-01,1.037895794952736311e-04,3.084437603396055286e-02,-5.642048595716967196e-05
9.995238212129358146e-01,1.051116414525928011e-04,3.085638818601398395e-02,-5.556570876487371006e-05
9.995233270304554329e-01,1.047954781227639710e-04,3.087238676144166485e-02,-5.895361764812141926e-05
9.995229774293465930e-01,1.052869480228793775e-04,3.088370217993882672e-02,-5.869491881795262767e-05
9.995225306490227446e-01,1.055262135173277256e-04,3.089816379262342455e-02,-5.534831674473201829e-05
9.995220646966357370e-01,1.068705801265707898e-04,3.091322126419778285e-02,-5.928173468549784002e-05
9.995215580424414714e-01,1.076458618385831554e-04,3.092959440498712145e-02,-6.008928180348498664e-05
9.995210937982454968e-01,1.065434591803263029e-04,3.094460339482824410e-02,-5.675902721811648324e-05
9.995206765307149688e-01,1.041880473714524631e-04,3.095808800569004038e-02,-5.585216762903670248e-05
9.995203127927133613e-01,1.056658510207421429e-04,3.096982513220665825e-02,-5.550463908018338173e-05
9.995198912473308717e-01,1.066546519647839573e-04,3.098342576709090662e-02,-5.434560081748643590e-05
9.995195116836999016e-01,1.066331575355890731e-04,3.099566974788255103e-02,-5.338377975987286186e-05
9.995190235286965930e-01,1.080424411152501959e-04,3.101139784177214115e-02,-5.599081438326010553e-05
9.995186069777446392e-01,1.076013575017738461e-04,3.102482230982179373e-02,-5.592728115916799098e-05
9.995181112161838355e-01,1.091602293669117265e-04,3.104078448070949486e-02,-5.597945166870410669e-05
9.995176673298651338e-01,1.105207321269683360e-04,3.105507501799605746e-02,-5.287967216846915910e-05
9.995171790936459022e-01,1.100819063251584558e-04,3.107079104206629527e-02,-5.022623455512054846e-05
9.995167164370287738e-01,1.092949792355953623e-04,3.108567167798398714e-02,-5.132130479814975125e-05
9.995161946912700657e-01,1.111172851056925541e-04,3.110243282984944888e-02,-5.361806437634681038e-05
9.995157345545498950e-01,1.111689625689815159e-04,3.111721361479840783e-02,-5.510164607944069963e-05
9.995153022397108566e-01,1.101865387795001455e-04,3.113110099755086665e-02,-5.475642947282426972e-05
9.995147462130324900e-01,1.099313798575801525e-04,3.114894990403807226e-02,-5.420022821159040891e-05
9.995143291314821932e-01,1.091624566373199394e-04,3.116232934809927760e-02,-5.633827914003368051e-05
9.995139437587087228e-01,1.087566590537403607e-04,3.117468951211034914e-02,-5.601540551562533615e-05
9.995134015228593904e-01,1.086908754525877063e-04,3.119207038973130161e-02,-5.574315187922921624e-05
