ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
9.999999999997390532e+00,-2.136637205093250836e-08,-9.780214491181313363e+00
9.999999999997651656e+00,-2.160926839149120795e-08,-9.780213653038988042e+00
9.999999999997886135e+00,-2.185399943217235429e-08,-9.780212811739817269e+00
9.999999999998097522e+00,-2.210057207899900401e-08,-9.780211967283802821e+00
9.999999999998287592e+00,-2.234899323799419717e-08,-9.780211119670942921e+00
9.999999999998459899e+00,-2.259926981518098047e-08,-9.780210268901241122e+00
9.999999999998614442e+00,-2.285140871658238736e-08,-9.780209414974692095e+00
9.999999999998752997e+00,-2.310541684822147777e-08,-9.780208557891297616e+00
9.999999999998877342e+00,-2.336130111612128517e-08,-9.780207697651059462e+00
9.999999999998989253e+00,-2.361906842630485623e-08,-9.780206834253977632e+00
9.999999999999090505e+00,-2.387872568479523766e-08,-9.780205967700048575e+00
9.999999999999181099e+00,-2.414027979761547284e-08,-9.780205097989277618e+00
9.999999999999262812e+00,-2.440373767078860184e-08,-9.780204225121657657e+00
9.999999999999337419e+00,-2.466910621033767797e-08,-9.780203349097197574e+00
9.999999999999403144e+00,-2.493639232228573800e-08,-9.780202469915893815e+00
9.999999999999463540e+00,-2.520560291265582531e-08,-9.780201587577739275e+00
9.999999999999516831e+00,-2.547674488747098991e-08,-9.780200702082742836e+00
9.999999999999564793e+00,-2.574982515275427186e-08,-9.780199813430904499e+00
9.999999999999609201e+00,-2.602485061452871787e-08,-9.780198921622218933e+00
9.999999999999648281e+00,-2.630182817881737130e-08,-9.780198026656687915e+00
9.999999999999683808e+00,-2.658076475164327556e-08,-9.780197128534314999e+00
9.999999999999715783e+00,-2.686166723902948063e-08,-9.780196227255094854e+00
9.999999999999744205e+00,-2.714454254699902328e-08,-9.780195322819029258e+00
9.999999999999770850e+00,-2.742939758157494691e-08,-9.780194415226121762e+00
9.999999999999793943e+00,-2.771623924878030481e-08,-9.780193504476368815e+00
9.999999999999815259e+00,-2.800507445463812714e-08,-9.780192590569768640e+00
9.999999999999834799e+00,-2.829591010517147051e-08,-9.780191673506326566e+00
9.999999999999850786e+00,-2.858875310640336508e-08,-9.780190753286039040e+00
9.999999999999866773e+00,-2.888361036435687738e-08,-9.780189829908906063e+00
9.999999999999880984e+00,-2.918048878505502434e-08,-9.780188903374932963e+00
9.999999999999893419e+00,-2.947939527452086918e-08,-9.780187973684109082e+00
9.999999999999904077e+00,-2.978033673877745199e-08,-9.780187040836443302e+00
9.999999999999914735e+00,-3.008332008384781284e-08,-9.780186104831932070e+00
9.999999999999923617e+00,-3.038835221575500172e-08,-9.780185165670577163e+00
9.999999999999930722e+00,-3.069544004052205541e-08,-9.780184223352376804e+00
9.999999999999937828e+00,-3.100459046417202390e-08,-9.780183277877330994e+00
9.999999999999944933e+00,-3.131581039272794397e-08,-9.780182329245443285e+00
9.999999999999950262e+00,-3.162910673221287222e-08,-9.780181377456710123e+00
9.999999999999955591e+00,-3.194448638864983220e-08,-9.780180422511129734e+00
9.999999999999960920e+00,-3.226195626806187390e-08,-9.780179464408707446e+00
9.999999999999964473e+00,-3.258152327647205394e-08,-9.780178503149439706e+00
9.999999999999968026e+00,-3.290319431990341570e-08,-9.780177538733324738e+00
9.999999999999971578e+00,-3.322697630437899596e-08,-9.780176571160367871e+00
9.999999999999975131e+00,-3.355287613592183147e-08,-9.780175600430563776e+00
9.999999999999978684e+00,-3.388090072055497886e-08,-9.780174626543919558e+00
9.999999999999980460e+00,-3.421105696430146827e-08,-9.780173649500429889e+00
9.999999999999982236e+00,-3.454335177318434971e-08,-9.780172669300091215e+00
9.999999999999984013e+00,-3.487779205322667317e-08,-9.780171685942912418e+00
9.999999999999985789e+00,-3.521438471045147542e-08,-9.780170699428886394e+00
9.999999999999987566e+00,-3.555313665088178662e-08,-9.780169709758016694e+00
9.999999999999989342e+00,-3.589405478054067661e-08,-9.780168716930301542e+00
9.999999999999991118e+00,-3.623714600545116892e-08,-9.780167720945742715e+00
9.999999999999992895e+00,-3.658241723163633342e-08,-9.780166721804338437e+00
9.999999999999994671e+00,-3.692987536511917377e-08,-9.780165719506092259e+00
9.999999999999994671e+00,-3.727952731192276645e-08,-9.780164714050997077e+00
9.999999999999994671e+00,-3.763137997807014161e-08,-9.780163705439059996e+00
9.999999999999994671e+00,-3.798544026958432939e-08,-9.780162693670279239e+00
9.999999999999994671e+00,-3.834171509248838642e-08,-9.780161678744651255e+00
9.999999999999994671e+00,-3.870021135280536269e-08,-9.780160660662179595e+00
9.999999999999994671e+00,-3.906093595655829497e-08,-9.780159639422864259e+00
9.999999999999994671e+00,-3.942389580977023327e-08,-9.780158615026703472e+00
9.999999999999994671e+00,-3.978909781846420111e-08,-9.780157587473699010e+00
9.999999999999994671e+00,-4.015654888866324849e-08,-9.780156556763849096e+00
9.999999999999994671e+00,-4.052625592639044527e-08,-9.780155522897153730e+00
9.999999999999994671e+00,-4.089822583766879513e-08,-9.780154485873614689e+00
9.999999999999994671e+00,-4.127246552852136130e-08,-9.780153445693230196e+00
9.999999999999994671e+00,-4.164898190497118056e-08,-9.780152402356003805e+00
9.999999999999994671e+00,-4.202778187304130289e-08,-9.780151355861930185e+00
9.999999999999994671e+00,-4.240887233875476506e-08,-9.780150306211012889e+00
9.999999999999994671e+00,-4.279226020813461709e-08,-9.780149253403248366e+00
9.999999999999994671e+00,-4.317795238720388911e-08,-9.780148197438645497e+00
9.999999999999994671e+00,-4.356595578198563774e-08,-9.780147138317195399e+00
9.999999999999994671e+00,-4.395627729850289314e-08,-9.780146076038898073e+00
9.999999999999994671e+00,-4.434892384277870530e-08,-9.780145010603758848e+00
9.999999999999994671e+00,-4.474390232083611761e-08,-9.780143942011775948e+00
9.999999999999994671e+00,-4.514121963869818006e-08,-9.780142870262944044e+00
9.999999999999994671e+00,-4.554088270238790297e-08,-9.780141795357268464e+00
9.999999999999994671e+00,-4.594289841792836940e-08,-9.780140717294750985e+00
9.999999999999994671e+00,-4.634727369134260290e-08,-9.780139636075388054e+00
9.999999999999994671e+00,-4.675401542865363361e-08,-9.780138551699181448e+00
9.999999999999994671e+00,-4.716313053588451816e-08,-9.780137464166127614e+00
9.999999999999994671e+00,-4.757462591905830653e-08,-9.780136373476231881e+00
9.999999999999994671e+00,-4.798850848419802889e-08,-9.780135279629490697e+00
9.999999999999994671e+00,-4.840478513732672861e-08,-9.780134182625905837e+00
9.999999999999994671e+00,-4.882346278446744908e-08,-9.780133082465475525e+00
9.999999999999994671e+00,-4.924454833164323369e-08,-9.780131979148199761e+00
9.999999999999994671e+00,-4.966804868487712580e-08,-9.780130872674080322e+00
